symbol,revenuePerShare,trailingPE,earningsQuarterlyGrowth,previousClose,open,dayLow,dayHigh,volume,trailingEps,pegRatio,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare.1,earningsGrowth,revenueGrowth
DMART.BO,749.054,114.95583,0.171,4161.25,4161.25,4149,4328.75,21177,37.36,4.17,37884751872,6303799808,4.86564E+11,3.616,749.054,0.173,0.173
NTPC.NS,180.587,17.478472,0.079,325,324.5,321.15,327.25,14706689,18.58,2.24,4.97654E+11,2225515266048.0,1751317348352.0,140.991,180.587,0.079,-0.04
VEDL.NS,389.362,21.55008,-0.183,273.4,273,269.9,274.4,9334694,12.58,-7.9,3.77128E+11,7.5064E+11,1445640011776.0,178.783,389.362,-0.185,0.038
IOC.NS,569.143,4.851645,10.678,164.5,165.7,163.55,167.15,25134412,34.04,-1.05,8.46777E+11,1154181758976.0,7815743668224.0,67.495,569.143,10.714,-0.028
DABUR.NS,69.258,51.564354,0.08,523.95,524,519,527.35,1072163,10.1,3.04,22755700736,14890500096,1.22672E+11,14.98,69.258,0.082,0.07
GRASIM.NS,1930.484,26.042986,-0.398,2205.55,2200,2194.45,2234,551643,85.38,3.2,2.49328E+11,1219280633856.0,1267134889984.0,93.151,1930.484,-0.398,0.116
DLF.NS,23.233,90.104065,0.265,857.7,861.05,855.6,869.9,2786686,9.61,3.25,17522585600,33166299136,57482231808,8.761,23.233,0.262,0.018
GODREJCP.NS,135.986,69.92845,0.064,1231.65,1236.95,1210,1244.5,1242289,17.47,3.75,29126475776,32747599872,1.39107E+11,22.585,135.986,0.064,0.017
SHREECEM.NS,5595.403,40.81621,1.488,25361.4,25399,25232,25489.95,12711,621.47,1.54,42688225280,20047400960,2.01884E+11,10.262,5595.403,1.488,0.215
COALINDIA.NS,230.17,9.066961,0.169,432.05,430.9,428.3,436.2,9171645,47.64,-16.54,3.6853E+11,63130599424,1418476388352.0,8.954,230.17,0.17,0.018
